,,,,
,,,,
,,,,
,Код материала,Наименование товара,Ед. изм,Фирма
,00-00000003,Монтажный пояс,шт,Тия Бозор
,00-00000005,Шлифовальная черепашка 500,шт,Чукурсой бозор
,00-00000007,"Шпаклёвка Элерон-01, для внутренних работ 20 кг",тн,Малика бозор
,00-00000008,Антимороз для бетона,шт,East mining invest
,00-00000011,Прожектор 300W,шт,Everest nous
,00-00000012,Кетмен,шт,Firstoil inoustry МЧЖ
,00-00000013,Патрон,шт,Vero econom stroy
,00-00000014,Тройник для удлинителя каучуковая   SOTKA AIBING 6 [120],шт,хозмаг Зохид
,00-00000015,Вилка каучуковая разборная угловая белий РОССИЯ,шт,Куйлик 1045
,00-00000016,"Теша (тесло, универсальный молоток)",шт,Plus lux oil
,00-00000020,Выключатель автоматический 16 А,шт,Muxandis servis group МЧЖ
,00-00000022,Выключатель автоматический 16 А,шт,СТ Зарафшон
,00-00000033,Шетка металический SIM SHUTKA SARIQ [120],шт,Zontik
,00-00000035,Краска   UZ 2.5 KG QIZIL [6],банка,Zontik
,00-00000036,Краска   UZ 2.5 KG SARIQ [6],банка,чп TALL ROOF
,00-00000039,Кувальда  KVALDA PLASMAS UZUN 3KG [6],шт,бозор теф
,00-00000040,Шпатель  SHPATEEL 200 [120],шт,PLANBER INVEST
,00-00000041,Суперклей   SUPER KLI JS [400],шт,EAST MINING INVET
,00-00000043,Шагам   SHAGAM PST KICH [250],шт,SRY TOWER
,00-00000044,Шпилька 1метр SHPELKA 10M [50],шт,VERO
,00-00000045,Шпилька 1метр  SHPELKA M8,шт,OOO BAO XIN METALL
,00-00000100,Хомут лехкий  Металлический хомут 31-38 1*,шт,DIESEL PARTS
,00-00000101,Хомут лехкий  Металлический хомут 40-46 1 1/4*,шт,Абдуллох 330756860
,00-00000102,Сетка кладка для газоблок базальт,рулон,Хозмаг
,00-00000103,Полизол 3мм (импорт Эрон),шт,УТТ Каримов Уктам
,00-00000104,Краска   KRASKA ANTEPAS 25KG,кг,FIDANZA
,00-00000106,Саморез Гулхар  GULXAR 10/90,кг,ASLANYPI MCHJ XK
,00-00000107,Стекло сварочного аппарат черный  OYNA [800] 12/10/8,шт,пример сантехника 777
,00-00000108,Салафан   SALAFAN KYIM QIMMAT [200],шт,пример сантехника 778
,00-00000110,Бур для бетон 10х160  ZONTIK BUR 10/160 [400],шт,пример сантехника 779
,00-00000111,Кувальда  AFIXS KVALDA 2000G [12],шт,пример сантехника 780
,00-00000112,Бур для бетон 10х210  HAMMER BUR 210/10[500],шт,пример сантехника 781
,00-00000113,Бур для бетон 12х210  ZONTIK BUR 210/14 [200],шт,пример сантехника 782
,00-00000114,Пена AKFIX PENA 805 [12],шт,пример сантехника 783
,00-00000115,Кисточка UZBOYA SHUTKA 2-3  [600],шт,пример сантехника 784
,00-00000116,Краска аэрозоль цвет черный AYRAZOL QORA 4 [12],шт,пример сантехника 785
,00-00000117,Пила для металл  ARRA LIT TEMIR 450 [48],шт,сергли бозор
,00-00000120,Сверло по металу  ZONTIK SIVERLO 8 [1000],шт,комил механик
,00-00000121,Скотч  MALYARNI SKOVCH ZONTIK 4.2/25 [72],шт,Рохат бозор
,00-00000122,Малярный ножж ZONTIK ABOY PICHOQ QORA [360] [24],шт,янги обод бозор
,00-00000123,Перчатка  5-8 QULQOP ZEBRA [960] Зебра,пара,CONCH CEMENT
,00-00000124,Рулетка  METIR  7.5 [96],шт,PLUS LUX OIL MCHJ
,00-00000127,Пила для пена блока   PENA ARRA 600 [24],шт,OOO GRAND COM
,00-00000128,Веник   SUPIRGI,шт,Сергели Журабек 99 919 03 03
,00-00000130,Сапог ETIK PUKAKLI [6],пара,Куйлик
,00-00000131,САЛАФАН плаш  SALAFAN KYIM  [200],шт,гранд сервис
,00-00000132,Ключ шестигранный   SHESTGRAN DONALI 14 [50],шт,OOO Grand Complect Servies
,00-00000136,Автомат 630А,шт,Сергели Баглан
,00-00000137,Автомат 100А,шт,best tooks
,00-00000138,Автомат 63А,шт,Янгиобод
,00-00000141,Автомат 1фаз 25А,шт,bao xin metal
,00-00000142,Наканечник ТА 70,шт,Planber invest
,00-00000144,АВВГ5х185,м,Илгор темирчи
,00-00000145,АВВГ 5х70,м,Янгобод
,00-00000153,BLOK-FIX_25 kg (Клей для газоблока),кг,Комол механик
,00-00000156,Отвод из ппр 40мм,шт,Умид
,00-00000157,Отвод из ппр 75мм,шт,Ибн-Сино бозор
,00-00000159,Муфта из ппр 20мм,шт,Vero
,00-00000160,Муфта из ппр диам 40,шт,Зарафшон
,00-00000161,Муфта из ппр диам 75,шт,Хонобод база
,00-00000163,Шаровой кран 25,шт,Ширбоев У.О
,00-00000164,Труба 200 6 ст / 4м,м,Раупов З
,00-00000167,Наканечник 25мм,шт,Firstoil invostry МЧЖ
,00-00000168,Кран из ппр 20мм,шт,Назарбек
,00-00000169,Отвод из ппр 20мм,шт,Система Сервис
,00-00000170,Полотвод из ппр 20мм,шт,Куйлик бозор
,00-00000171,Мостик из ппр 20мм,шт,ООО Thermogoods
,00-00000173,Анкерный болт м14х100  ANKER BOLT 14/100 [50],шт,Vero Строй Маркет
,00-00000175,Сверло по металу  ZONTIK SIVERLO 12 [250],шт,Малика А5
,00-00000176,Рулетка  METR ZONTIK 5M ARG [120],шт,1-88
,00-00000177,Ключ тришетка для опалубки TRESHOTKA KLUCH [50],шт,Osiyo Style
,00-00000178,Санга   SANGA M10 [1000] TURK (1-почка 100шт),шт,Чукурсой
,00-00000181,Зашитная каска оранжевый,шт,Истирохат
,00-00000182,Бур для бетон 12х160   ZONTIK BUR 160/12 [400],шт,Хожиакбар
