,,,,,,,,,,,,,
,,,,353 804,27 880 869,,237 409 289 009,24 955 515,,222 645 234 424,"3 279 157,200",,23 414 908 060
,Код материала,Наименование товара,Ед. изм,Остаток на начало,Приход,,,Расход,,,Остаток,,
,,,,,Кол-во,Цена,Сумма,Кол-во,Цена,Сумма,Кол-во,Цена,Сумма
,00-00000003,Монтажный пояс,шт,,1 563,128 429,200 735 000,824,128 429,105 825 745,739,128 429,94 909 255
,00-00000005,Шлифовальная черепашка 500,шт,,12,15 167,182 000,12,15 167,182 000,"0,0000",15 167,0
,00-00000007,"Шпаклёвка Элерон-01, для внутренних работ 20 кг",тн,48,173,321 812,55 576 984,221,321 812,71 069 028,"0,000",321 812,0
,00-00000008,Антимороз для бетона,шт,,3 312,5 577,18 468 000,3 125,5 577,17 425 114,187,5 577,1 042 886
,00-00000011,Прожектор 300W,шт,13,668,360 360,240 720 300,566,360 360,203 963 607,115,360 360,41 441 369
,00-00000012,Кетмен,шт,70,10,30 000,300 000,81,30 000,2 430 000,-1,30 000,-30 000
,00-00000013,Патрон,шт,330,19 347,2 894,55 990 000,14 609,2 894,42 278 281,5 068,2 894,14 666 735
,00-00000014,Тройник для удлинителя каучуковая   SOTKA AIBING 6 [120],шт,59,3 868,42 969,166 204 400,3 081,42 969,132 387 734,846,42 969,36 351 841
,00-00000015,Вилка каучуковая разборная угловая белий РОССИЯ,шт,256,6 071,14 770,89 669 500,5 697,14 770,84 145 469,630,14 770,9 305 186
,00-00000016,"Теша (тесло, универсальный молоток)",шт,3,285,29 554,8 423 000,231,29 554,6 827 063,57,29 554,1 684 600
,00-00000020,Выключатель автоматический 16 А,шт,24,0,0,0,24,0,0,"0,0000",0,0
,00-00000022,Выключатель автоматический 16 А,шт,100,0,0,0,100,0,0,"0,0000",0,0
,00-00000033,Шетка металический SIM SHUTKA SARIQ [120],шт,35,120,3 303,396 300,117,3 303,386 393,"38,000",3 303,125 495
,00-00000035,Краска   UZ 2.5 KG QIZIL [6],банка,14,144,51 021,7 347 000,117,51 021,5 943 927,42,51 021,2 117 365
,00-00000036,Краска   UZ 2.5 KG SARIQ [6],банка,10,30,52 000,1 560 000,19,52 000,988 000,21,52 000,1 092 000
,00-00000039,Кувальда  KVALDA PLASMAS UZUN 3KG [6],шт,3,4,221 000,884 000,7,221 000,1 547 000,"0,0000",221 000,0
,00-00000040,Шпатель  SHPATEEL 200 [120],шт,28,228,5 015,1 143 360,256,5 015,1 283 773,"0,0000",5 015,0
,00-00000041,Суперклей   SUPER KLI JS [400],шт,3,0,0,0,3,0,0,"0,0000",0,0
,00-00000043,Шагам   SHAGAM PST KICH [250],шт,2,3,71 980,215 940,5,71 980,359 900,"0,0000",71 980,0
,00-00000044,Шпилька 1метр SHPELKA 10M [50],шт,453,3 950,10 368,40 953 500,1 889,10 368,19 585 104,2 514,10 368,26 065 088
,00-00000045,Шпилька 1метр  SHPELKA M8,шт,418,3 104,8 178,25 386 000,975,8 178,7 974 017,2 547,8 178,20 830 587
,00-00000100,Хомут лехкий  Металлический хомут 31-38 1*,шт,510,4 440,3 115,13 831 430,2 429,3 115,7 566 789,2 521,3 115,7 853 386
,00-00000101,Хомут лехкий  Металлический хомут 40-46 1 1/4*,шт,,4 705,2 654,12 486 720,4 680,2 654,12 420 372,25,2 654,66 348
,00-00000102,Сетка кладка для газоблок базальт,рулон,158,217,420 940,91 344 000,375,420 940,157 852 535,"0,0000",420 940,0
,00-00000103,Полизол 3мм (импорт Эрон),шт,873,270,0,0,1 143,0,0,"0,0000",0,0
,00-00000104,Краска   KRASKA ANTEPAS 25KG,кг,44,898,19 269,17 304 000,282,19 269,5 433 996,660,19 269,12 717 862
,00-00000106,Саморез Гулхар  GULXAR 10/90,кг,4,8,39 868,303 000,4,39 868,159 474,"7,6000",39 868,303 000
,00-00000107,Стекло сварочного аппарат черный  OYNA [800] 12/10/8,шт,,60,7 800,468 000,49,7 800,382 200,11,7 800,85 800
